id,name,longitude,latitude,rating,address,adname,subtype
18157cf9-b7ca-34d8-8c64-0698199f3040,大岗公园,113.405745,22.805735,4.6,兴业路大岗公园,南沙区,18157cf9-b7ca-34d8-8c64-0698199f3040
bd80328a-7b53-3932-b0ea-5f0d278f77e4,大岗镇宪法广场,113.406174,22.805492,2.8,解放路与码头路交叉口西南160米,南沙区,bd80328a-7b53-3932-b0ea-5f0d278f77e4
257452dc-87fc-35f7-abb3-7782f42fe357,笆笆拉广场,113.402232,22.806144,4.1,兴业路番岗石化大岗加油站,南沙区,257452dc-87fc-35f7-abb3-7782f42fe357
1458cb3c-f366-3ae8-867f-58d5865440dd,大岗戏台,113.406549,22.805688,3.3,解放路与码头路交叉口西南120米,南沙区,1458cb3c-f366-3ae8-867f-58d5865440dd
99ad5d98-0ab0-3a83-af81-504119ebf448,街心公园,113.401109,22.801582,4.2,大岗镇二湾大街,南沙区,99ad5d98-0ab0-3a83-af81-504119ebf448
417d6751-406d-38a6-9450-03c8df9f4b0d,二湾文化公园,113.401493,22.801018,3.8,大岗镇二湾社区二湾公园,南沙区,417d6751-406d-38a6-9450-03c8df9f4b0d
ca523f28-ae41-3176-b3b5-6e33c64db1d2,大岗镇二湾社区法治小公园,113.400175,22.802856,3.0,环镇西路与兴业路交叉口南60米,南沙区,ca523f28-ae41-3176-b3b5-6e33c64db1d2
8c8b6524-1865-3c86-b074-5fa5fde60104,北帝泉古迹,113.407301,22.80599,3.3,大岗公园内(东侧),南沙区,8c8b6524-1865-3c86-b074-5fa5fde60104
0016fa48-0393-3630-9e03-187b686f2a78,南村公园,113.333331,22.9053,4.2,汇源直街9号,番禺区,0016fa48-0393-3630-9e03-187b686f2a78
134535e5-f9af-3436-b37a-da87cfa301ce,沙湾古镇-何树享住宅,113.332426,22.905476,3.5,福北路2号沙湾古镇(东北角),番禺区,134535e5-f9af-3436-b37a-da87cfa301ce
6c186321-843f-3aeb-84fd-3a11c3945fe2,沙湾镇何氏福荫堂,113.330715,22.90505,3.3,福北路2号沙湾古镇(东北角),番禺区,6c186321-843f-3aeb-84fd-3a11c3945fe2
600a0c08-b630-34cd-ad3a-ec7932d7593b,沙湾古镇-镇南祠,113.330131,22.905093,3.9,沙湾镇安宁西街20号,番禺区,600a0c08-b630-34cd-ad3a-ec7932d7593b
8a15115e-54d0-36ab-bcc1-6d09e2d39768,廣东音乐纪念馆,113.330516,22.905674,,福北路2号沙湾古镇(东北角),番禺区,8a15115e-54d0-36ab-bcc1-6d09e2d39768
1330219d-5edf-35e3-bdc8-451721f3a967,进士会,113.330212,22.90541,3.1,福北路2号沙湾古镇(东北角),番禺区,1330219d-5edf-35e3-bdc8-451721f3a967
9884024a-2307-3a7e-8261-37011428106d,进士里,113.33018,22.905412,3.6,华光路沙湾古镇内(东北角),番禺区,9884024a-2307-3a7e-8261-37011428106d
60056947-4d86-32d4-8730-4f4f10f2df48,沙湾古镇-清水井,113.330619,22.905929,3.6,华光路沙湾古镇内(东北角),番禺区,60056947-4d86-32d4-8730-4f4f10f2df48
563829d8-3b36-38c7-9acf-abed71d09c5c,沙湾古镇-福堂祖,113.330224,22.90557,3.2,沙湾镇安宁西街12号,番禺区,563829d8-3b36-38c7-9acf-abed71d09c5c
41f91019-a353-3fcd-8e8d-fde88d984284,安宁广场,113.33089,22.906381,4.6,福北路2号沙湾古镇(东北角),番禺区,41f91019-a353-3fcd-8e8d-fde88d984284
a1c82ad3-0566-3a6d-b3e7-d0e02d75dc2e,存著堂,113.332998,22.907061,3.5,沙湾镇朱涌大街14号,番禺区,a1c82ad3-0566-3a6d-b3e7-d0e02d75dc2e
02d9e201-fc65-3e94-94c7-1b0a2e92b302,沙湾古镇-北帝祠,113.332971,22.907066,4.0,沙湾镇大巷涌64号沙湾古镇,番禺区,02d9e201-fc65-3e94-94c7-1b0a2e92b302
2cd3fd14-47bc-39d5-9632-a3eda2e2090e,沙湾镇公局巷孖井,113.331142,22.906753,2.9,公局巷,番禺区,2cd3fd14-47bc-39d5-9632-a3eda2e2090e
9a18945a-9d61-3f5d-9936-deebf66127e3,鸡膥巷,113.330363,22.906285,3.6,华光路沙湾古镇内(东北角),番禺区,9a18945a-9d61-3f5d-9936-deebf66127e3
674ca21f-0465-392a-9dbc-d137d2d5473c,聪明井,113.329472,22.905245,3.2,福北路2号沙湾古镇,番禺区,674ca21f-0465-392a-9dbc-d137d2d5473c
63c5330c-7f2d-3f65-ba20-6eabfbd1ea63,武帝古庙,113.331469,22.907082,3.8,福北路2号沙湾古镇,番禺区,63c5330c-7f2d-3f65-ba20-6eabfbd1ea63
